2018/11/19 19:01:08 [error] 1578#1578: *284 open() "/app/static/cache/products/9/catalog_origin_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:02:38 [error] 1578#1578: *288 open() "/app/static/cache/products/9/catalog_product_main_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_main_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:02:38 [error] 1578#1578: *288 open() "/app/static/cache/products/9/catalog_product_additional_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_additional_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:05:05 [error] 1578#1578: *292 open() "/app/static/cache/products/9/catalog_product_main_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_main_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:05:05 [error] 1578#1578: *292 open() "/app/static/cache/products/9/catalog_product_additional_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_additional_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:05:45 [error] 1578#1578: *292 open() "/app/static/cache/products/9/catalog_product_additional_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_additional_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:15:05 [error] 1578#1578: *300 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/index"
2018/11/19 20:11:51 [error] 1578#1578: *314 open() "/app/static/cache/products/7/thumb_6.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_6.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 20:11:51 [error] 1578#1578: *313 open() "/app/static/cache/products/7/thumb_5.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_5.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 20:11:51 [error] 1578#1578: *312 open() "/app/static/cache/products/7/thumb_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 20:40:01 [error] 1578#1578: *338 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=7"
2018/11/19 20:40:04 [error] 1578#1578: *338 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/category?id=6"
2018/11/19 20:40:07 [error] 1578#1578: *338 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/index"
2018/11/19 20:40:08 [error] 1578#1578: *338 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/"
